alpha_th,cap_th,alpha_lgbm,cap_lgbm,cf,overall,B1,B2,B3,B4
0.8,1.5,0.0,1.1,0.98,0.5687,0.6007,0.5893,0.6621,0.4227
0.8,1.5,0.0,2.0,0.98,0.5687,0.6007,0.5893,0.6621,0.4227
0.8,1.5,0.0,1.5,0.98,0.5687,0.6007,0.5893,0.6621,0.4227
0.8,1.5,0.0,3.0,0.98,0.5687,0.6007,0.5893,0.6621,0.4227
0.6,1.2,0.4,1.1,0.97,0.5685,0.6115,0.5538,0.6829,0.4256
1.0,1.1,0.4,1.1,0.96,0.5685,0.616,0.5479,0.687,0.4233
0.4,1.5,0.4,2.0,0.87,0.568,0.6284,0.5598,0.6397,0.4443
1.0,1.2,0.0,1.1,0.98,0.5677,0.599,0.5641,0.6867,0.4209
1.0,1.2,0.0,1.5,0.98,0.5677,0.599,0.5641,0.6867,0.4209
1.0,1.2,0.0,1.3,0.98,0.5677,0.599,0.5641,0.6867,0.4209
1.0,1.2,0.0,3.0,0.98,0.5677,0.599,0.5641,0.6867,0.4209
1.0,1.2,0.0,1.2,0.98,0.5677,0.599,0.5641,0.6867,0.4209
1.0,1.2,0.0,2.0,0.98,0.5677,0.599,0.5641,0.6867,0.4209
0.4,2.0,0.8,1.5,0.8,0.5676,0.6258,0.5676,0.6272,0.4496
0.4,1.3,0.4,2.0,0.87,0.5675,0.6279,0.5528,0.6455,0.4437
0.6,1.3,0.4,2.0,0.86,0.5675,0.6258,0.5585,0.6443,0.4416
0.4,1.1,0.8,1.1,0.95,0.5671,0.6266,0.5415,0.6722,0.4282
0.4,1.1,0.4,1.2,0.95,0.567,0.6261,0.5413,0.6723,0.4282
0.4,2.0,0.0,1.1,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,2.0,0.0,1.5,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,2.0,0.0,3.0,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,2.0,0.0,1.2,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,2.0,0.0,1.3,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,2.0,0.0,2.0,0.99,0.567,0.5923,0.5728,0.6788,0.424
0.4,1.3,0.4,1.1,0.97,0.5669,0.6113,0.5529,0.6779,0.4256
0.8,1.3,0.0,1.1,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
0.8,1.3,0.0,1.2,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
0.8,1.3,0.0,1.3,0.98,0.5669,0.5994,0.5702,0.6767,0.4214
